bug_id,component_name,product_name,short_description,long_description,assignee_name,reporter_name,resolution_category,resolution_code,status_category,status_code,quantity_of_votes,quantity_of_comments,bug_fix_time,severity_category,severity_code
MOZILLA.ORG_GRAVEYARD-416079,Server Operations,MOZILLA.ORG_GRAVEYARD,At least one of the static webheads serving up 500 ISEs to people,"It seems one of the static webheads serving www.mozilla.org is serving 500 ISEs to people.

These bugs have all been filed in the last 24 hours:
Bug 415888
Bug 415927
Bug 416017
Bug 416043
Bug 416046
Bug 416056
Bug 416078

Might be at the AMS cluster since I can't reproduce this and since one of the reporters has a .uk e-mail address.",oremj,reed,fixed,1,resolved,4,0,18,7,blocker,6
CORE-67723,Document Navigation,CORE,crash whenever popping up second browser window in viewer (nsDocShellTreeOwner::IsModal),"running on WinNT 4.0 today's debug build pulled around noon pst.
viewer crashes every time a site tries to pop up an ad window.  This prevents us
from running layout regression tests (and probably various daily performance
metrics that only run in viewer.) We can't check in until we can at least run
through the top100.

nsDocShellTreeOwner::IsModal(nsDocShellTreeOwner * const 0x011ec620 int *
0x0012e45c) line 236 + 16 bytes
GlobalWindowImpl::OpenInternal(GlobalWindowImpl * const 0x02afd050 JSContext *
0x02b01180 long * 0x00e7d600 unsigned int 3 int 0 nsIDOMWindowInternal * *
0x0012e8b8) line 3064
GlobalWindowImpl::Open(GlobalWindowImpl * const 0x02afd054 JSContext *
0x02b01180 long * 0x00e7d600 unsigned int 3 nsIDOMWindowInternal * *
0x0012e8b8) line 2069
WindowInternalOpen(JSContext * 0x02b01180 JSObject * 0x00daac28 unsigned int
3 long * 0x00e7d600 long * 0x0012e99c) line 4383 + 42 bytes
js_Invoke(JSContext * 0x02b01180 unsigned int 3 unsigned int 0) line 777 + 23
bytes
js_Interpret(JSContext * 0x02b01180 long * 0x0012f838) line 2670 + 15 bytes
js_Execute(JSContext * 0x02b01180 JSObject * 0x00daac28 JSScript * 0x032d0c80
JSStackFrame * 0x00000000 unsigned int 0 long * 0x0012f838) line 956 + 13 bytes
JS_EvaluateUCScriptForPrincipals(JSContext * 0x02b01180 JSObject * 0x00daac28
JSPrincipals * 0x0327f050 const unsigned short * 0x00f16290 unsigned int
17696 const char * 0x0327f170 unsigned int 1 long * 0x0012f838) line 3224 +
25 bytes
nsJSContext::EvaluateString(nsJSContext * const 0x02b006b0 const
basic_nsAReadableString & {...} void * 0x00daac28 nsIPrincipal
* 0x0327f04c const char * 0x0327f170 unsigned int 1 const char * 0x005125f8
basic_nsAWritableString & {...} int * 0x0012f894) line 609 + 68
bytes
HTMLContentSink::EvaluateScript(nsString & {...} nsIURI * 0x032b6510 int 1
const char * 0x005125f8) line 4689
HTMLContentSink::OnStreamComplete(HTMLContentSink * const 0x032ce984
nsIStreamLoader * 0x032b6050 nsISupports * 0x00000000 unsigned int 0 unsigned
int 17696 const char * 0x00f0e248) line 4811 + 42 bytes
nsStreamLoader::OnStopRequest(nsStreamLoader * const 0x032b6054 nsIChannel *
0x032b5d40 nsISupports * 0x00000000 unsigned int 0 const unsigned short *
0x002df048 gCommonEmptyBuffer) line 121 + 78 bytes
nsHTTPFinalListener::OnStopRequest(nsHTTPFinalListener * const 0x032b1750
nsIChannel * 0x032b5d40 nsISupports * 0x00000000 unsigned int 0 const
unsigned short * 0x002df048 gCommonEmptyBuffer) line 1182 + 42 bytes
InterceptStreamListener::OnStopRequest(InterceptStreamListener * const
0x032a8680 nsIChannel * 0x032b5d40 nsISupports * 0x00000000 unsigned int 0
const unsigned short * 0x002df048 gCommonEmptyBuffer) line 1212
nsHTTPChannel::ResponseCompleted(nsIStreamListener * 0x032a8680 unsigned int 0
const unsigned short * 0x002df048 gCommonEmptyBuffer) line 1930 + 42 bytes
nsHTTPServerListener::OnStopRequest(nsHTTPServerListener * const 0x032aa7f0
nsIChannel * 0x032b1084 nsISupports * 0x032b5d40 unsigned int 0 const
unsigned short * 0x002df048 gCommonEmptyBuffer) line 735
nsOnStopRequestEvent::HandleEvent(nsOnStopRequestEvent * const 0x032786b0) line
177 + 67 bytes
nsStreamObserverEvent::HandlePLEvent(PLEvent * 0x032786b4) line 78
PL_HandleEvent(PLEvent * 0x032786b4) line 576 + 10 bytes
PL_ProcessPendingEvents(PLEventQueue * 0x011ea930) line 509 + 9 bytes
_md_EventReceiverProc(HWND__ * 0x04ac05a2 unsigned int 49394 unsigned int 0
long 18786608) line 1054 + 9 bytes
USER32! 77e71820()",adamlock,buster,fixed,1,resolved,4,0,8,9,blocker,6
CORE-136756,String,CORE,Strings requires unfrozen nsCRT class,"Strings requiring unfrozen the nsCRT class is a problem for components plugins
and embedders that want to work in or with multiple version of mozilla and not
have to reimplement the string code.  The idea is to have these clients link in
the string code so that they can have a snapshot of our string implementation.
 This allows the freedom to change the string classes in mozilla without worring
about backwards compatibly (assuming that no interfaces changes - string
interfaces are (or will be) frozen right!).  Basically the clients get a copy
of the concrete implementation of the string interfaces.

Having string require this unfrozen class will cause problems when nsCRT
changes.  Any change could break compatiblity with built clients.",doug.turner,doug.turner,fixed,1,resolved,4,0,37,46,blocker,6
BUGZILLA-140633,Bugzilla-General,BUGZILLA,directory datatemplate created in the bugzilla root directory,Under windows 2000 a directory named datatemplate is created by bugzilla.,justdave,cedric.caron,fixed,1,resolved,4,0,8,1,blocker,6
FIREFOX-317633,Bookmarks & History,FIREFOX,Undo/Redo for Places,Bring across transaction management from the old Bookmarks system.,bugs,bugs,fixed,1,resolved,4,0,22,69,blocker,6
BUGZILLA-652474,Bugzilla-General,BUGZILLA,Release Bugzilla 4.1.2 4.0.1 3.6.5 and 3.4.11,We have some valuable bug fixes in at least 3.6.5 and 4.0.1. Also 3.4.11 is affected by installation problems with Math::Random::Secure. And there are several new checkins on trunk since we released 4.1.1. So we should release soon.,mkanat,LpSolit,fixed,1,resolved,4,0,11,3,blocker,6
FIREFOX_BUILD_SYSTEM-184182,General,FIREFOX_BUILD_SYSTEM,configure test needed for File::Spec v 0.8,"I just spent a while (an hour or so at least) building the current phoenix
source.  Then as chrome was being archived:

updating: skin/classic/global/toolbarbutton.css (deflated 79%)
updating: skin/classic/global/button.css (deflated 71%)
gmake[4]: Leaving directory `/home/bzbarsky/phoenix_src/mozilla/toolkit/skin/unix'
Unknown option: -
+++ making chrome /home/bzbarsky/phoenix_src/mozilla/toolkit  =>
../dist/bin/chrome/toolkit.jar
File::Spec version 0.8 required--this is only version 0.6 at
../config/preprocessor.pl line 74.
BEGIN failed--compilation aborted at ../config/preprocessor.pl line 74.
Preprocessing of content/viewZoomOverlay.js failed: 255 at
../config/make-jars.pl line 340  chunk 2.
gmake[3]: *** [libs] Error 2

It would really help to do this check _before_ the compile starts.",bryner,bzbarsky,fixed,1,resolved,4,0,21,397,blocker,6
BUGZILLA-261993,Query/Bug List,BUGZILLA,rampant uninitialized value error in log with fix for bug 255512,"Ever since the fix for bug 255512 was checked in and landfill's tip install
upgraded to it landfill's httpd error log has been bombarded with the following
error:

[Thu Sep 23 13:30:16 2004] [error] [client 67.109.126.2] [Thu Sep 23 13:30:16
2004] buglist.cgi: Use of uninitialized value in numeric eq (==) at
/var/www/html/bugzilla-tip/buglist.cgi line 842. referer:
http://landfill.bugzilla.org/bugzilla-tip/query.cgi

It's bad enough to have taken about 90MB of space on disk before I discovered it
today.  Since Sunday morning (two and a half days ago) 173K of 174K lines in
the log are that error.",wurblzap,myk,fixed,1,resolved,4,0,6,1,blocker,6
CALENDAR-279165,Internal Components,CALENDAR,Cannot build Sunbird on BeOS,"General problem for both BeOS version (netserver and BONE)
is
#ifdef HAVE_STDINT_H
#include 
#endif
in mozilla/calendar/libical/src/libical/icalrecur.c  line 138.
BeOS has inttypes.h

Don't know what place is better to change configure files with check to 
AC_CHECK_HEADERS(stdint.h inttypes.h)

or just icalrecur.c file with #if defined(BeOS)
-----------
Second poblem is in libxpical and specific for BONE versions of BeOS.
mozilla/calendar/libxpical/token.c
contains
#ifdef XP_BEOS
#include 
#endif
which is OK only for netserver version.
in case of BONE version all required definitions are in standard header files
so this ifdef must be ommited.",sergei_d,sergei_d,fixed,1,resolved,4,0,26,558,critical,5
CORE-508247,SVG,CORE,Crash [@ _moz_cairo_matrix_multiply] with getCTM method on path inside definition-src,"Created attachment 392477
testcase

See testcase which crashes current trunk build.

This regressed between 2009-07-22 and 2009-07-24:
http://hg.mozilla.org/mozilla-central/pushloghtml?startdate=2009-07-22+04%3A00%3A00&enddate=2009-07-24+06%3A00%3A00
I guess a regression from bug 435356.

http://crash-stats.mozilla.com/report/index/c7aff124-3e64-42fd-902b-318792090804?p=1
0   xul.dll   _moz_cairo_matrix_multiply    gfx/cairo/cairo/src/cairo-matrix.c:298
1  xul.dll  gfxMatrix::Multiply  gfx/thebes/src/gfxMatrix.cpp:82
2  xul.dll  xul.dll@0x9aeb17  
3  xul.dll  nsSVGGraphicElement::GetCTM  content/svg/content/src/nsSVGGraphicElement.cpp:109
4  xul.dll  NS_InvokeByIndex_P  xpcom/reflect/xptcall/src/md/win32/xptcinvoke.cpp:101
5  xul.dll  XPCWrappedNative::CallMethod  js/src/xpconnect/src/xpcwrappednative.cpp:2710",longsonr,martijn.martijn,fixed,1,resolved,4,0,17,27,critical,5
FIREFOX-304804,Disability Access,FIREFOX,Menu is not accessible,"Using GOK->Menu no keyboard for menus can be displayed. The whole menu bar is
not accessible. This is critical bugs for firefox a11y on Unix platform.",Louie.Zhao,Louie.Zhao,fixed,1,resolved,4,0,2,5,critical,5
INFRASTRUCTURE_&_OPERATIONS-619146,NetOps,INFRASTRUCTURE_&_OPERATIONS,please open mysql port for bm-graphs-stage01 -> tm-stage01-master01,"Jabba set us up a new staging server (bm-graphs-stage01) over in bug 619083.

We need to be able to connect to mysql (3306) on tm-stage01-master01",justdave,rhelmer,fixed,1,resolved,4,0,5,30,critical,5
MOZILLA.ORG_GRAVEYARD-75991,Server Operations,MOZILLA.ORG_GRAVEYARD,miscstats needs to work with bonsai and bugzilla on separate servers,"The script called mozilla/webtools/miscstats/genstats.cgi assumes that bonsai
and bugzilla are on the same server.  Now that bugzilla is moving to a new
server this script has to be updated to take that into account.

The quick and dirty solution is to run this script on both servers with each
script generating only the statistics for its own server.

The one correct solution(TM) is to give each server access to the other's mysql
installation but this requires thinking through the security issues involved.

Since Bugzilla is moving to the new server today I'm going to implement the
quick and dirty solution for the moment.",myk,myk,fixed,1,resolved,4,0,17,9,critical,5
TECH_EVANGELISM_GRAVEYARD-110818,English US,TECH_EVANGELISM_GRAVEYARD,irt.org - DHTML/JS content is outdated.,"This is a very popular site (linked to by About.com) where many people learn
DHTML and Javascript.

Unfortunately much of the code listed is for layers etc. and doesn't work well
with gecko based browsers.  The content needs to be updated to work with DOM.

The longer this site continues to have it's bad content the more sites out
there will use the bad content.",english-us,caillon,fixed,1,resolved,4,0,6,2646,critical,5
FIREFOX-399065,General,FIREFOX,Firefox crashes when pop-up window is closed via self.close() or window close button (red X),"User-Agent:       Mozilla/5.0 (Macintosh U PPC Mac OS X Mach-O en-US rv:1.8.1.7) Gecko/20070914 Firefox/2.0.0.7
Build Identifier: Mozilla/5.0 (Macintosh U PPC Mac OS X Mach-O en-US rv:1.8.1.7) Gecko/20070914 Firefox/2.0.0.7

A child window is opened using Javascript window.open(). When this window is closed using either the OS'es red X button or call to Javascript self.close().  This is not universally true -- some factor in the test code (in the example URL) is doubtless responsible.  (I will be spending some time isolating this factor -- it's killing my app and I want it to stop!)

BTW: I've tested this with Windows and it does not cause crash.

Reproducible: Always

Steps to Reproduce:
1. Go to http://www.pemburn.com/poptest/index.html
2. Click the Edit button
3. When window pops up close it with Cancel button
Actual Results:  
Firefox crashes

Expected Results:  
Window should close",nobody,mark,fixed,1,resolved,4,0,11,0,critical,5
CALENDAR-461337,Build Config,CALENDAR,Sunbird tinderboxen need more disk space to stay green,Sunbird (but not Lightning) tinderboxen are aflame on Linux & Windows see http://tinderbox.mozilla.org/showbuilds.cgi?tree=Sunbird&hours=24,gozer,antoine.mechelynck,fixed,1,resolved,4,0,17,11,critical,5
CORE-384037,XUL,CORE,Crash [@ nsIFrame::IsBoxFrame] with ,"Created attachment 267985
testcase (crashes Firefox when loaded)",roc,jruderman,fixed,1,resolved,4,0,13,684,critical,5
MOZILLA_LABS_GRAVEYARD-580422,Test Pilot,MOZILLA_LABS_GRAVEYARD,Test Pilot Raw Data log randomly resets,"I haven't been able to reproduce this on command and it seems to happen randomly.  Here's what happens:

I click 'more info' on the Firefox 4 Beta interface study I have running then click 'click here' to bring up my raw data log.  Everything is logging fine and I'll do some more UI interactions (click back etc) to test the study.  Everything seems to be logging fine but after a few minutes I'll click 'Click here' again to refresh the log and the log will be totally blank - no study meta data no events no anything.  I'll do some more UI interactions click 'Click here' again and the new UI interactions I have done are logged correctly but none of the old data is there so my log is only a few lines - its just like the log reset..

Tested against Mozilla/5.0 (Windows U Windows NT 6.1 WOW64 en-US rv:2.0b1) Gecko/20100630 Firefox/4.0b1",jono,cjung,fixed,1,resolved,4,0,13,6,critical,5
INFRASTRUCTURE_&_OPERATIONS_GRAVEYARD-450659,WebOps: Other,INFRASTRUCTURE_&_OPERATIONS_GRAVEYARD,Need QMO update for SA-2008-047 - Drupal core - Multiple vulnerabilities,Drupal security advisory SA-2008-047 (Drupal core - Multiple vulnerabilities) was released yesterday. Need to get QMO patched ASAP.,reed,reed,fixed,1,resolved,4,0,7,0,critical,5
CORE-300936,ImageLib,CORE,ABR in XBM image leading to arbitrary code execution,"User-Agent:       Mozilla/5.0 (X11 U Linux i686 en-US rv:1.7.8) Gecko/20050712 Firefox/1.0.4
Build Identifier: Mozilla/5.0 (X11 U Linux i686 en-US rv:1.7.8) Gecko/20050712 Firefox/1.0.4

mozilla/modules/libpr0n/decoders/xbm/nsXBMDecoder.cpp:

***

nsresult nsXBMDecoder::ProcessData(const char* aData PRUint32 aCount)
{
[...]
        // Check for X11 flavor
        if (strstr(mPos  char ))
            mIsX10 = PR_FALSE
        // Check for X10 flavor
        else if (strstr(mPos  short ))
            mIsX10 = PR_TRUE
        else
            // Neither identifier found.  Return for now waiting for more data.
            return NS_OK 
[...]
    if (mState == RECV_DATA)
    {
        PRUint32 bpr
        mFrame->GetImageBytesPerRow(
        PRUint32 abpr
        mFrame->GetAlphaBytesPerRow(
        PRBool hiByte = PR_TRUE

        do
        {
            PRUint32 pixel = strtoul(mPos 
[...]
[1]         while (*endPtr && isspace(*endPtr))
                endPtr++       // skip whitespace looking for comma
            if (*endPtr && (*endPtr != ''))
            {
[5]             *endPtr = '\0'
                mState = RECV_DONE  // strange character (or ending '}')
            }
                (...)
            if (!mIsX10 || !hiByte)
[2]             mPos = endPtr // go to next value only when done with this one
        [...]
[3]         mPos++
[4]     } while (*mPos 

***

The ProcessData function of the nsXBMDecoder class parse the data of an XBM's
format image.
The bug happens during the re-processing of this image format within the
libpr0n a module activated by default :

At [1] endPtr is incremented until the null terminating character if it's
fill by ' ' space.
At [2] mPos is set to endPtr if mIsX10 and hiByte are null. There are option
taken from the XBM format's image.
At [3] mPos is incremented without checking if *mPos is null.
Thus the boucle at [4] can not stop depending on the state of the heap.

I found it is possible to craft such an XBM image to put the heap layout in
a predictable state and exploit the bug reliably.

An attacker could execute arbitrary code on mozilla firefox if a web page is
viewed or even within an e-mail with a IFRAME tag.


Reproducible: Always

Steps to Reproduce:
#0  nsXBMDecoder::ProcessData (this=0x870b2e0 
    aData=0x81c3e44 #define gopher_binary_width 20\n#define
gopher_binary_height 23\nstatic char gopher_binary_bits[] = {\n   0x00 0x00
0x00 0x00
 0x00 0x00 0x00 0
x00 0x00 0x00 0x00 0x00\n   0xff 0x3f 0x00 0x01... aCount=254) at
nsXBMDecoder.cpp:142
#1  0x41fc11d9 in nsXBMDecoder::ReadSegCb (aIn=0x8680e2c aClosure=0x870b2e0 
    aFromRawSegment=0x81c3e44 #define gopher_binary_width 20\n#define
gopher_binary_height 23\nstatic char gopher_binary_bits[] = {\n   0x00 0x00 
0x00 0x00 0x00 0x0
0 0x00 0x00 0x00 0x00 0x00 0x00\n   0xff 0x3f 0x00 0x01...
aToOffset=0 aCount=254 aWriteCount=0xbfffe844) at nsXBMDecoder.cpp:129
#2  0x401942a2 in nsPipeInputStream::ReadSegments (this=0x8680e2c 
    writer=0x41fc11a0 <nsXBMDecoder::ReadSegCb(nsIInputStream* void* char
const* unsigned int unsigned int unsigned int*)> closure=0x870b2e0 c
ount=254 
    readCount=0xbfffe8c8) at nsPipe3.cpp:761
#3  0x41fc1223 in nsXBMDecoder::WriteFrom (this=0x870b2e0 aInStr=0x8680e2c
aCount=254 aRetval=0xbfffe8c8) at nsXBMDecoder.cpp:134
#4  0x41fadc8f in imgRequest::OnDataAvailable (this=0x87e60d8
aRequest=0x8798458 ctxt=0x0 inStr=0x8680e2c sourceOffset=0 count=254) at
imgReques
t.cpp:796
#5  0x41fa5f50 in ProxyListener::OnDataAvailable (this=0x8285b98
aRequest=0x8798458 ctxt=0x0 inStr=0x8680e2c sourceOffset=0 count=254) at imgLoa
der.cpp:862
#6  0x41ca0b8b in nsMediaDocumentStreamListener::OnDataAvailable
(this=0x871a678 request=0x8798458 ctxt=0x0 inStr=0x8680e2c sourceOffset=0 count
=254)
    at nsMediaDocument.cpp:114
#7  0x415e7688 in nsDocumentOpenInfo::OnDataAvailable (this=0x873e740
request=0x8798458 aCtxt=0x0 inStr=0x8680e2c sourceOffset=0 count=254) at n
sURILoader.cpp:344
#8  0x40bb6933 in nsFileChannel::OnDataAvailable (this=0x8798458 req=0x8748a20
ctx=0x0 stream=0x8680e2c offset=0 count=254) at nsFileChannel.cpp
:594
#9  0x40b2d258 in nsInputStreamPump::OnStateTransfer (this=0x8748a20) at
nsInputStreamPump.cpp:433
#10 0x40b2ce88 in nsInputStreamPump::OnInputStreamReady (this=0x8748a20
stream=0x8680e2c) at nsInputStreamPump.cpp:336
#11 0x401983f7 in nsInputStreamReadyEvent::EventHandler (plevent=0x86cadf4) at
nsStreamUtils.cpp:118
#12 0x401bbf9b in PL_HandleEvent (self=0x86cadf4) at plevent.c:673
#13 0x401bbe50 in PL_ProcessPendingEvents (self=0x80d0fd0) at plevent.c:608
#14 0x401bf14a in nsEventQueueImpl::ProcessPendingEvents (this=0x80d0ad8) at
nsEventQueue.cpp:398
#15 0x409591d0 in event_processor_callback (data=0x80d0ad8 source=4
condition=GDK_INPUT_READ) at nsAppShell.cpp:186
#16 0x40958b7d in our_gdk_io_invoke (source=0x8211540 condition=G_IO_IN
data=0x8210f50) at nsAppShell.cpp:71
#17 0x404284c6 in g_io_add_watch () from /usr/lib/libglib-1.2.so.0
#18 0x40429dd8 in g_get_current_time () from /usr/lib/libglib-1.2.so.0
#19 0x4042a2c1 in g_get_current_time () from /usr/lib/libglib-1.2.so.0
#20 0x4042a5e5 in g_main_run () from /usr/lib/libglib-1.2.so.0
#21 0x4033525f in gtk_main () from /usr/lib/libgtk-1.2.so.0
#22 0x4095961a in nsAppShell::Run (this=0x80d6c48) at nsAppShell.cpp:317
#23 0x408cf8ea in nsAppShellService::Run (this=0x80d56e0) at
nsAppShellService.cpp:494
#24 0x0805e5cd in xre_main (argc=1 argv=0xbffff484 aAppData=0x807500c) at
nsAppRunner.cpp:1907
#25 0x0805851c in main (argc=1 argv=0xbffff484) at nsBrowserApp.cpp:58

------------------

#define gopher_binary_width 20
#define gopher_binary_height 23
static char gopher_binary_bits[] = {
   0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
   0xff 0x3f 0x00 0x01 0x60 0x00 0x01 0xa0 0x00 0x71 0x26 0x01      EOF

As you can see the image end with a space character when the program assume
the image to be clean and contain end tag.
Thus if one is able to control the heap layout it is possible to execute
arbitrary code.

Here is some details on how to exploit the bug on Linux :

- Use a javascript and allocate a lot of 'local' buffer. I found JC_GC is called
at the end of the javascript parsing before any image are loaded and will free
all 'useless' (because local) buffer.
Thus it is easy to 1) Allocate in some global array a lot of *little bufer* to
begin so we have the heap layout in a predictable state (no hole).
2) Allocate a few big buffer with isdigit()-valid character. Because there is no
more heap hole the 'top chunk' of the heap is expended.
3) When JC_GC return some memory have been freed and thus following
allocation will fall in these new heap hole.
4) When the image is processed the overflowed buffer will be followed by
isdigit-character (this is junk in the prev_size field of the next struct
malloc_chunk). Then a '\0' will be written on the LSB of the 'next size' field
of the next struct malloc_chunk on the heap.
Because it is easily possible to inject controlled character on the heap
(actually that could have been done in the few isdigit()-valid buffer) it is
possible to store fake information on the heap and tricks malloc()/free()/etc
to parse them.
Still in the scheme of Doug Lea malloc (linux) this will end by triggering the
macro UNLINK() which basically insert a heap chunk in a linked list thus
writing a controlled pointer of us to a controlled address of us.
One can simply overwrite any function pointer like GOT entry saved %eip
pointer on the stack and hijack it to point to some injected shellcode.

Exploitation is possible on *BSD / Windows aswell.
Actual Results:  
Ability to execute whatever code you want.

Expected Results:  
Stop me.",cbiesinger,jackerror823,fixed,1,resolved,4,0,20,10,critical,5
CORE-194330,Printing: Output,CORE,crash on trying to print or print preview the above url,"User-Agent:       Mozilla/5.0 (Windows U Win95 en-US rv:1.2.1) Gecko/20021130
Build Identifier: Mozilla/5.0 (Windows U Win95 en-US rv:1.2.1) Gecko/20021130

The above url causes mozilla to freeze and need an alt-ctl-del and end task to
get back from it when you try to print or print preview it (freezes on preparing).

Reproducible: Always

Steps to Reproduce:
1. Open Browser
2. Go to http://ato.gov.au/content/notforprofit/29723.htm
3. Try to Print or Print Preview
Actual Results:  
mozilla freezes

Expected Results:  
Printed or Previewed the print job

I've also seen this in 1.2.1 running on Win98",john,noel.clarkson,fixed,1,resolved,4,0,22,106,critical,5
